NPRODUCTO,CONCURSO,R1,R2,R3,R4,R5,R6,R7,R8,R9,FECHA
25,487,V,E,L,V,V,V,L,E,L,28/02/2020
25,486,L,L,L,L,V,L,L,L,L,20/02/2020
25,485,E,E,L,E,L,L,E,V,E,14/02/2020
25,484,V,E,V,L,E,L,E,E,L,07/02/2020
25,483,L,L,V,L,L,L,E,V,V,30/01/2020
25,482,V,L,L,L,L,E,L,E,E,24/01/2020
25,481,E,L,L,V,V,E,V,L,V,17/01/2020
25,480,V,E,E,L,V,V,V,L,E,10/01/2020
25,479,V,L,E,L,L,V,E,E,E,03/01/2020
25,478,L,E,L,V,L,V,V,L,E,27/12/2019
25,477,E,E,V,E,E,L,V,V,V,20/12/2019
25,476,V,E,L,V,L,V,L,E,E,12/12/2019
25,475,L,L,L,L,V,L,L,L,E,06/12/2019
25,474,L,E,V,L,E,L,E,E,L,29/11/2019
25,473,L,L,L,V,L,V,L,L,V,20/11/2019
25,472,E,V,V,V,V,V,V,V,V,16/11/2019
25,471,E,L,L,E,V,L,E,L,L,08/11/2019
25,470,V,L,V,L,V,V,L,L,V,01/11/2019
25,469,V,V,V,L,L,E,L,E,L,24/10/2019
25,468,L,L,L,E,L,E,L,V,V,18/10/2019
25,467,E,L,E,L,E,E,E,L,E,11/10/2019
25,466,L,V,V,L,V,L,L,V,V,03/10/2019
25,465,V,V,E,E,L,L,V,L,V,27/09/2019
25,464,V,L,E,V,L,L,E,L,V,19/09/2019
25,463,V,E,E,V,V,L,L,L,E,13/09/2019
25,462,E,V,E,V,V,L,V,V,V,06/09/2019
25,461,V,E,E,E,E,E,L,L,L,30/08/2019
25,460,E,L,V,V,V,V,L,V,V,23/08/2019
25,459,E,L,L,V,V,E,V,L,E,16/08/2019
25,458,L,L,L,L,E,V,V,V,V,09/08/2019
25,457,V,V,L,E,L,L,E,L,V,02/08/2019
25,456,V,E,V,E,L,E,V,V,V,25/07/2019
25,455,L,L,L,V,V,L,V,L,L,18/07/2019
25,454,V,E,L,E,L,E,V,E,L,12/07/2019
25,453,V,E,L,V,E,L,L,L,V,05/07/2019
25,452,L,V,E,L,L,L,L,E,L,28/06/2019
25,451,L,L,V,E,L,V,V,V,L,20/06/2019
25,450,V,L,L,L,V,L,L,L,L,13/06/2019
25,449,L,L,E,L,E,L,V,E,L,07/06/2019
25,448,L,V,L,E,L,V,L,L,L,31/05/2019
25,447,L,V,V,E,L,L,E,L,L,24/05/2019
25,446,V,L,V,E,L,V,E,V,E,17/05/2019
25,445,V,E,L,L,L,V,E,V,E,10/05/2019
25,444,E,E,V,L,E,L,L,E,V,03/05/2019
25,443,V,V,L,L,V,V,L,E,V,24/04/2019
25,442,V,V,L,L,L,V,V,L,E,19/04/2019
25,441,V,L,V,E,L,V,L,L,V,12/04/2019
25,440,L,L,L,E,L,L,L,E,V,04/04/2019
25,439,L,E,E,E,L,V,E,E,L,27/03/2019
25,438,V,L,E,L,E,V,E,L,V,22/03/2019
25,437,L,V,L,L,V,E,L,E,L,14/03/2019
25,436,V,L,L,V,V,L,L,L,E,07/03/2019
25,435,E,E,L,E,V,L,E,E,L,28/02/2019
25,434,V,L,E,E,L,L,E,L,L,22/02/2019
25,433,L,L,V,L,V,V,V,E,V,14/02/2019
25,432,V,L,E,V,E,V,L,L,L,07/02/2019
25,431,V,E,E,L,L,L,L,E,E,31/01/2019
25,430,V,L,V,V,L,L,V,E,V,25/01/2019
25,429,V,L,V,V,L,E,E,L,L,17/01/2019
25,428,V,V,V,V,L,V,E,L,E,10/01/2019
25,427,V,E,V,E,V,L,E,L,V,03/01/2019
25,426,E,L,V,L,V,E,L,V,V,27/12/2018
25,425,E,V,E,E,E,V,E,E,V,19/12/2018
25,424,E,E,V,L,E,E,L,V,L,14/12/2018
25,423,L,E,V,L,L,V,E,L,V,07/12/2018
25,422,V,E,L,L,L,V,L,L,L,30/11/2018
25,421,L,E,L,V,E,L,L,L,V,21/11/2018
25,420,L,L,L,V,L,V,E,L,L,16/11/2018
25,419,L,E,E,L,V,E,V,L,E,08/11/2018
25,418,V,E,E,V,V,V,L,V,E,01/11/2018
25,417,E,E,V,E,L,V,E,V,L,25/10/2018
25,416,V,L,V,V,E,E,V,L,E,17/10/2018
25,415,L,V,E,V,E,E,V,V,L,12/10/2018
25,414,L,E,E,E,V,V,V,L,L,04/10/2018
25,413,V,V,L,V,V,E,L,E,V,27/09/2018
25,412,L,L,E,V,E,V,E,L,E,20/09/2018
25,411,L,V,L,L,L,E,L,E,L,12/09/2018
25,410,E,V,L,E,V,L,L,E,L,07/09/2018
25,409,L,V,L,E,E,L,E,V,V,30/08/2018
25,408,E,V,L,L,L,L,L,V,E,23/08/2018
25,407,E,V,L,E,E,E,L,L,V,16/08/2018
25,406,V,E,L,E,E,E,L,L,E,09/08/2018
25,405,L,L,L,V,L,L,V,E,E,02/08/2018
25,404,V,V,L,L,V,V,E,E,E,27/07/2018
25,403,L,L,L,V,L,E,E,L,E,20/07/2018
25,402,L,E,E,V,E,L,E,L,V,13/07/2018
25,401,L,E,V,V,V,E,L,E,L,06/07/2018
25,400,E,V,V,V,E,V,V,V,V,28/06/2018
25,399,V,V,L,E,L,V,L,L,V,22/06/2018
25,398,L,V,L,E,E,L,V,V,E,15/06/2018
25,397,E,V,L,L,E,E,L,L,E,08/06/2018
25,396,E,V,L,L,L,E,L,V,L,01/06/2018
25,395,E,E,L,V,V,E,L,E,L,25/05/2018
