NPRODUCTO,CONCURSO,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,BOLSA,FECHA
30,565,D,L,V,V,D,L,L,D,L,L,D,V,L,1500000,09/10/2011
30,564,V,D,D,V,L,D,V,D,D,D,D,L,L,1500000,02/10/2011
30,563,D,D,D,L,D,D,D,V,L,V,D,D,D,1500000,25/09/2011
30,562,L,D,V,L,V,D,D,L,L,V,L,D,L,1500000,18/09/2011
30,561,L,V,L,D,L,V,V,V,L,L,L,L,D,0,11/09/2011
30,560,V,L,L,L,V,L,D,D,D,V,V,D,V,1500000,02/09/2011
30,559,D,D,L,L,D,V,D,D,D,D,D,L,V,1500000,28/08/2011
30,558,L,L,L,L,D,L,V,V,L,L,V,D,L,0,21/08/2011
30,557,V,D,L,L,L,L,L,D,L,L,L,L,D,1500000,14/08/2011
30,556,D,V,D,D,V,L,V,L,D,V,D,D,D,0,06/02/2011
30,555,L,V,D,V,D,D,L,L,D,V,D,L,L,4000000,02/01/2011
30,554,V,V,V,D,D,L,L,L,D,D,L,L,D,4000000,26/12/2010
30,553,D,D,D,L,L,D,V,L,V,L,D,D,V,3500000,19/12/2010
